var,n_cases,integral_rel_error_mean,integral_rel_error_median,integral_rel_error_p90,integral_rel_error_max,p95_rel_error_mean,p95_rel_error_median,p95_rel_error_p90,p95_rel_error_max,p99_rel_error_mean,p99_rel_error_median,p99_rel_error_p90,p99_rel_error_max,peak_location_error_px_mean,peak_location_error_px_median,peak_location_error_px_p90,peak_location_error_px_max,center_of_mass_error_px_mean,center_of_mass_error_px_median,center_of_mass_error_px_p90,center_of_mass_error_px_max,profile_rmse_r_mean,profile_rmse_r_median,profile_rmse_r_p90,profile_rmse_r_max,profile_rmse_z_mean,profile_rmse_z_median,profile_rmse_z_p90,profile_rmse_z_max,grad_rmse_mean,grad_rmse_median,grad_rmse_p90,grad_rmse_max,top10_rmse_mean,top10_rmse_median,top10_rmse_p90,top10_rmse_max,shape_corr_mean,shape_corr_median,shape_corr_p90,shape_corr_max,distribution_error_score_mean,distribution_error_score_median,distribution_error_score_p90,distribution_error_score_max
ne,72.0,0.31594732345713095,0.17755138608510768,0.7220774721989683,2.5029936259921115,0.40678988753787015,0.2289284173366602,0.8807604091727431,3.6498024554897834,0.4320550397131686,0.2334658093769213,0.9129582226817099,3.8947981090048414,27.785984267948802,13.90707045614367,72.30616409439831,131.06105447462264,5.409528845791099,4.716085168448272,9.228823768689034,18.88527555458804,1.0148141031805707e+17,5.460036214087186e+16,2.4642040763029754e+17,6.386599683873284e+17,8.669869804427987e+16,4.214879118416464e+16,2.200895013026846e+17,6.146177415440733e+17,3244883551909581.0,1790474699648563.0,9949903883587896.0,1.931790942401275e+16,2.3417997252832938e+17,1.296901349809077e+17,6.986077391992357e+17,1.5320606705859779e+18,0.9931343524643067,0.995682192949821,0.9985943516809851,0.9991171792677765,0.34375636793150616,0.1944588328406417,0.730271271466608,2.9883017364931312
ni,72.0,0.29671510983001337,0.18017016797548274,0.671111014384104,2.2294908121267407,0.37404939523286707,0.2264403538257065,0.805985053691089,3.2492293761412046,0.4037490849586415,0.23964280751123263,0.8534058578567776,3.3890433026520923,25.76391478773402,14.449264524756899,64.51405341585193,130.034610777285,5.41653199222084,4.584259308143422,9.914015802387196,19.35427564717532,9.947493076111123e+16,5.241833519068056e+16,2.4347236061709613e+17,6.278251083340813e+17,8.478101594678982e+16,3.995835127576511e+16,2.1577205541297904e+17,6.056006548085032e+17,3187533111354319.0,1738309934055161.8,9920812844920308.0,1.9396609712222372e+16,2.311351335987635e+17,1.2288216660344978e+17,6.940973612069802e+17,1.5292354111765855e+18,0.992773278223276,0.9954860898801234,0.9985278270807393,0.9991730433602501,0.31893106112893693,0.19354651209684404,0.6848419295655056,2.636515611893509
