r_m,truth_ne,sensor_ne,point_noise_draw,calibration_noise_draw
0.0,3416639957107461.0,3322888323391015.0,-0.027439717059276215,0.0
0.005,3455699941242914.0,3331536156388772.0,-0.035930140627164445,0.0
0.01,3538559959792996.0,3584291765973965.0,0.012923846621393531,0.0
0.015,3652620069581425.0,3323162063089904.5,-0.0901977211468575,0.0
0.02,3771439959794580.5,3791935531297074.0,0.00543441542779045,0.0
0.025,3856280046861937.0,3857256644077565.0,0.00025324852027357533,0.0
0.03,3866959968720062.5,3994365311939694.5,0.03294715855613122,0.0
0.035,3775119889443948.0,3742594783095538.0,-0.008615648588898362,0.0
0.04,3574259949251291.0,3257384132461386.5,-0.08865494432107018,0.0
0.045,3308120027245437.0,3264016543140267.0,-0.013331887519780745,0.0
0.05,3049939932634911.0,3186471997432703.0,0.044765493030493556,0.0
0.055,2843780019023162.0,3167240641872917.5,0.11374319415918265,0.0
0.06,2663019902595301.0,2816689367934085.0,0.05770496314692282,0.0
0.065,2469459890347492.0,2325603980730501.0,-0.05825399723206205,0.0
0.07,2239660025094095.0,2152026359930572.8,-0.03912811059787549,0.0
0.075,1977960151415344.2,2107706435360752.0,0.06559600498147893,0.0
0.08,1679199911452391.0,1674491790684639.2,-0.002803788122927908,0.0
0.085,1349080098501919.0,1339543817608399.2,-0.007068728464758609,0.0
0.09,988876248675704.2,1129762027539851.2,0.1424705862364682,0.0
